key,title,authors,year,venue,arxiv_or_id,url,github,category,memory_representation,semantic_dedup,cross_context_reuse,multi_view,token_optimization,context_compression,graph_or_hierarchy,benchmarks,main_results,relevance_to_project,verification
mirix2025,MIRIX: Multi-Agent Memory System for LLM-Based Agents,"Wang, Chen",2025,arXiv preprint,arXiv:2507.07957,https://arxiv.org/abs/2507.07957,-,multi-view-memory,Six typed memories (Core/Episodic/Semantic/Procedural/Resource/Knowledge Vault) + multi-agent controller,UNVERIFIED (99.9% storage reduction implies strong compaction),Yes (persists diverse long-term user data),YES (six typed memory views; multimodal),Yes (99.9% storage reduction claimed),Yes,Multi-type + multi-agent,ScreenshotVQA / LoCoMo,+35% vs RAG on ScreenshotVQA; 85.4% on LoCoMo (SOTA claimed),VERY HIGH: explicit multi-view typed memory + coordinated composition,V (fetched this session)
collabmem2025,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,"Rezazadeh, Li, Lou, Zhao, Wei, Bao",2025,arXiv preprint,arXiv:2505.18279,https://arxiv.org/abs/2505.18279,-,multi-view-memory,Two-tier fragments (private + shared) with immutable provenance,UNVERIFIED,Yes (explicit cross-user knowledge transfer),YES (read policies project fragments into filtered transformed VIEWS),Indirect (read policies filter fragments),No,Bipartite permission graph,Provable policy-adherence emphasized,VERY HIGH: clearest explicit multi-view + governed cross-context reuse of shared units,V (fetched this session)
awm2024,Agent Workflow Memory (AWM),"Wang, Mao, Fried, Neubig",2024,arXiv preprint,arXiv:2409.07429,https://arxiv.org/abs/2409.07429,github.com/zorazrw/agent-workflow-memory,reusable-memory-units,Induced workflows (reusable sub-routines with example context abstracted out),Implicit (abstraction consolidates recurring routines),Yes (core: reused across tasks/domains),No,Yes (selective workflow injection),No,No,Mind2Web / WebArena,+24.6% Mind2Web; +51.1% WebArena rel. success,VERY HIGH: canonical reusable memory unit = abstracted workflow + budgeted injection,V (fetched this session)
expel2023,ExpeL: LLM Agents Are Experiential Learners,"Zhao, Huang, Xu, Lin, Liu, Huang",2023,AAAI 2024,arXiv:2308.10144,https://arxiv.org/abs/2308.10144,-,reusable-memory-units,Experience pool (trajectories) + extracted NL insights/rules,Implicit (insight extraction consolidates),Yes (recall insights + trajectories for unseen tasks),Partial (trajectories vs insights),UNVERIFIED,Yes (insights distill experience),No,HotpotQA/ALFWorld/WebShop,Task-success gains + transfer,HIGH: distilling reusable units from experience + cross-task transfer,K (well-known)
voyager2023,Voyager: An Open-Ended Embodied Agent with LLMs,"Wang, Xie, Jiang, Mandlekar, Xiao, Zhu, Fan, Anandkumar",2023,TMLR 2023,arXiv:2305.16291,https://arxiv.org/abs/2305.16291,github.com/MineDojo/Voyager,reusable-memory-units,Ever-growing skill library of executable code (retrieved by desc embedding),Limited (self-verification before adding),Yes (core: skills composed for new tasks),No,Yes (retrieval selects relevant skills),No,Skill library,Minecraft,"3.3x more items; tech milestones up to 15.3x faster",HIGH: reusable memory unit = executable skill; compositional reuse,K (well-known)
locomo2024,Evaluating Very Long-Term Conversational Memory of LLM Agents (LoCoMo),"Maharana, Lee, Tulyakov, Bansal, Barbieri, Fang",2024,ACL 2024,arXiv:2402.17753,https://arxiv.org/abs/2402.17753,github.com/snap-research/locomo,benchmark,N/A (very long-term multi-session conversations),No,Partial (multi-session recall),No,No,No,N/A,QA/summarization/dialogue,LLMs lag humans on temporal/causal QA,HIGH: primary evaluation target for memory-unit systems,K (well-known)
longmemeval2024,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,"Wu, Wang, Yu, Zhang, Chang, Yu",2024,ICLR 2025,arXiv:2410.10813,https://arxiv.org/abs/2410.10813,github.com/xiaowu0162/LongMemEval,benchmark,N/A; proposes index->retrieve->read framework,No,Cross-session reasoning,No,Yes (studies session decomposition + granularity),No,N/A,5 memory abilities; 500 questions,~30% accuracy drop over sustained interactions,VERY HIGH: index/retrieve/read + token-budget analysis maps to our composition,K (well-known)
msc2022,Beyond Goldfish Memory: Long-Term Open-Domain Conversation (MSC),"Xu, Szlam, Weston",2022,ACL 2022,arXiv:2107.07567,https://arxiv.org/abs/2107.07567,-,benchmark,N/A; evaluates retrieval + summarization memory,No,Cross-session recall (foundational),No,Indirect (summarization),No,N/A,MSC dataset (up to 5 sessions),Retrieval/summary memory beat long-context,MED-HIGH: canonical origin of multi-session eval,K (well-known)
convchron2023,Conversation Chronicles: Temporal and Relational Dynamics in Multi-Session Conversations,"Jang, Boo, Kim",2023,EMNLP 2023,arXiv:2310.13420,https://arxiv.org/abs/2310.13420,conversation-chronicles.github.io,benchmark,N/A; ReBot chronological summarization,No,Cross-session recall (temporal/relational),No,Indirect,No,N/A,1M dialogues / 200K episodes,Relationship + time-interval labels,MED: labels useful for typed/multi-view units,A (arXiv-fetched)
perltqa2024,PerLTQA: Personal Long-Term Memory Dataset for Memory Classification Retrieval and Synthesis,"Du, et al.",2024,SIGHAN @ ACL 2024,arXiv:2402.16288,https://arxiv.org/abs/2402.16288,-,benchmark,Framework: classification -> retrieval -> synthesis,No,Personalization reuse across persona,Partial (semantic vs episodic typing),No,No,Typed memory,8593 questions over 30 characters,Classifier beats ChatGLM3/ChatGPT on classification,HIGH: explicit typed memory + retrieve+synthesize pipeline,A (arXiv-fetched)
dialsim2024,DialSim: Real-Time Simulator for Long-Term Multi-Party Dialogue Understanding,"Kim, et al.",2024,arXiv (v4 2025),arXiv:2406.13144,https://arxiv.org/abs/2406.13144,dialsim.github.io,benchmark,N/A; incremental within-interval memory update,No,Long-horizon recall across episodes,No,Latency-bounded update tested,No,N/A,Friends/TBBT/Office role-play QA,Agents limited on multi-party long-term dialogue,MED-HIGH: latency-bounded incremental update = compute-budget analogue,A (arXiv-fetched)
memagentbench2025,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions (MemoryAgentBench),"Hu, Wang, McAuley",2025,arXiv preprint,arXiv:2507.05257,https://arxiv.org/abs/2507.05257,github.com/HUST-AI-HYZ/MemoryAgentBench,benchmark,N/A (evaluates memory agents),No,Test-time learning ~ experience reuse,No,No,No,N/A,4 competencies: accurate retrieval / test-time learning / long-range understanding / selective forgetting,No prior benchmark covered all four,HIGH: four-competency decomposition frames reuse + forgetting,V (fetched this session)
lamp2023,LaMP: When Large Language Models Meet Personalization,"Salemi, Mysore, Bendersky, Zamani",2023,ACL 2024,arXiv:2304.11406,https://arxiv.org/abs/2304.11406,github.com/LaMP-Benchmark/LaMP,benchmark,User profile as retrievable personal corpus,No,Personalization = reuse of user history across tasks,No,Retrieval selects profile subset (budgeted),No,Per-user profile,7 tasks (3 class + 4 gen),Retrieval-augmented personalization,HIGH: canonical personalization retrieval; user profile as reusable store,K (well-known)
longlamp2024,LongLaMP: Benchmark for Personalized Long-form Text Generation,"Kumar, Viswanathan, Yerra, Salemi, et al.",2024,arXiv preprint,arXiv:2407.11016,https://arxiv.org/abs/2407.11016,-,benchmark,User profile retrieval,No,Per-user profile reuse,No,Profile retrieval,No,Per-user profile,Long-form generation tasks,5.7%-128% over non-personalized baselines,MED-HIGH: long-form personalization = budgeted composition from user memory,A (arXiv-fetched)
webarena2024,WebArena: A Realistic Web Environment for Building Autonomous Agents,"Zhou, et al.",2023,ICLR 2024,arXiv:2307.13854,https://arxiv.org/abs/2307.13854,github.com/web-arena-x/webarena,agent-benchmark,N/A (web environment),No,Primary testbed for workflow/experience reuse,No,No,No,N/A,812 long-horizon web tasks,Best GPT-4 agent 14.41% vs human 78.24%,HIGH: reuse testbed (AWM etc. demonstrate cross-task reuse here),K (well-known)
alfworld2021,ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,"Shridhar, Yuan, Cote, Bisk, Trischler, Hausknecht",2021,ICLR 2021,arXiv:2010.03768,https://arxiv.org/abs/2010.03768,github.com/alfworld/alfworld,agent-benchmark,N/A (text + embodied aligned),No,Yes (abstract policies transfer to embodied),Partial (text vs embodied views of same task),No,No,N/A,TextWorld <-> ALFRED,BUTLER agent transfer,HIGH (cross-context): text<->embodied = multi-view of one task precedent,K (well-known)
taubench2024,tau-bench: Tool-Agent-User Interaction in Real-World Domains,"Yao, Shinn, Razavi, Narasimhan",2024,arXiv preprint,arXiv:2406.12045,https://arxiv.org/abs/2406.12045,github.com/sierra-research/tau-bench,agent-benchmark,N/A (tool-agent-user),No,Policy adherence + multi-turn state,No,No,No,N/A,Retail/airline domains,GPT-4o <50% success; pass^8 <25% retail,MED: policy memory + reliability metric,K (well-known)
survey_zhang2024,A Survey on the Memory Mechanism of LLM-based Agents,"Zhang, Bo, Ma, Li, Chen, Dai, Zhu, Dong, Wen",2024,arXiv preprint,arXiv:2404.13501,https://arxiv.org/abs/2404.13501,github.com/nuster1128/LLM_Agent_Memory_Survey,survey,Taxonomy: sources/forms/operations (write/manage/read),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Gaps: unified eval, multimodal/parametric, forgetting/updating",HIGH: organizing framework for positioning our work,A (arXiv-fetched)
survey_wu2025,From Human Memory to AI Memory: A Survey on Memory Mechanisms in the Era of LLMs,"Wu, Liang, Zhang, Wang, Zhang, Guo, Tang, Liu",2025,arXiv preprint,arXiv:2504.15965,https://arxiv.org/abs/2504.15965,-,survey,Taxonomy: object/form/time -> 8 quadrants,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gaps: human<->AI mapping; long-term+parametric integration,HIGH: object/form/time scaffold for classifying multi-view/reusable memory,A (arXiv-fetched)
